Item Fat Content,Item Identifier,Item Type,Outlet Establishment Year,Outlet Location Type
Regular,FDN22,Snack Foods,2000,Tier 3
Low Fat,NCS17,Health and Hygiene,2022,Tier 3
Low Fat,FDK43,Meat,2000,Tier 3
Low Fat,FDM40,Frozen Foods,2000,Tier 3
Regular,FDN33,Snack Foods,2010,Tier 1
Regular,FDW39,Meat,1998,Tier 1
LF,DRJ13,Soft Drinks,2015,Tier 2
Low Fat,DRI49,Soft Drinks,2010,Tier 1
Low Fat,FDS52,Frozen Foods,2011,Tier 3
Low Fat,NCX54,Household,2020,Tier 2
Regular,FDI16,Frozen Foods,2017,Tier 2
Regular,FDM22,Snack Foods,2000,Tier 3
Low Fat,NCO17,Health and Hygiene,1998,Tier 1
Regular,FDK58,Snack Foods,2022,Tier 3
Regular,FDA08,Fruits and Vegetables,2015,Tier 2
Low Fat,DRC27,Dairy,2017,Tier 2
Regular,FDL58,Snack Foods,2020,Tier 2
Low Fat,DRJ51,Dairy,2017,Tier 2
Regular,FDY03,Meat,2015,Tier 2
Low Fat,FDG29,Frozen Foods,2000,Tier 3
Low Fat,DRP47,Hard Drinks,2020,Tier 2
Low Fat,FDB53,Frozen Foods,2015,Tier 2
reg,FDM01,Breakfast,2020,Tier 2
Low Fat,FDJ22,Snack Foods,1998,Tier 1
Regular,FDR59,Breads,2015,Tier 2
Low Fat,FDH27,Dairy,2010,Tier 1
Low Fat,NCW53,Health and Hygiene,1998,Tier 1
Low Fat,FDW24,Baking Goods,1998,Tier 1
Regular,FDF11,Starchy Foods,2017,Tier 2
Low Fat,FDZ27,Dairy,2015,Tier 2
Regular,FDL51,Dairy,2012,Tier 1
Low Fat,FDX08,Fruits and Vegetables,2010,Tier 1
Low Fat,DRH15,Dairy,2000,Tier 3
Low Fat,FDS26,Dairy,1998,Tier 3
Regular,FDT09,Snack Foods,2012,Tier 1
Low Fat,FDK41,Frozen Foods,2010,Tier 1
Low Fat,FDN09,Snack Foods,2011,Tier 3
Low Fat,FDK24,Baking Goods,2022,Tier 3
Regular,FDW31,Fruits and Vegetables,2022,Tier 3
Regular,FDL48,Baking Goods,2000,Tier 3
Regular,FDB38,Canned,1998,Tier 1
Regular,FDW44,Fruits and Vegetables,2012,Tier 1
Low Fat,FDE22,Snack Foods,1998,Tier 1
LF,NCU41,Health and Hygiene,2010,Tier 1
Low Fat,FDL46,Snack Foods,1998,Tier 3
Low Fat,FDB21,Fruits and Vegetables,2017,Tier 2
Low Fat,NCJ42,Household,2010,Tier 1
Low Fat,FDJ08,Fruits and Vegetables,2020,Tier 2
Low Fat,FDB16,Dairy,2012,Tier 1
Regular,FDJ55,Meat,2012,Tier 1
Low Fat,NCZ06,Household,1998,Tier 1
Low Fat,FDM14,Canned,2010,Tier 1
Low Fat,FDA23,Baking Goods,2010,Tier 1
Low Fat,FDW49,Canned,2010,Tier 1
Low Fat,DRK23,Hard Drinks,2012,Tier 1
Regular,FDV56,Fruits and Vegetables,1998,Tier 3
Low Fat,DRK39,Dairy,2000,Tier 3
Low Fat,FDM52,Frozen Foods,2015,Tier 2
Low Fat,FDH58,Snack Foods,2015,Tier 2
Regular,FDL24,Baking Goods,1998,Tier 3
Low Fat,FDF46,Snack Foods,2017,Tier 2
Low Fat,NCO54,Household,2015,Tier 2
Low Fat,NCR17,Health and Hygiene,2022,Tier 3
Regular,FDU44,Fruits and Vegetables,1998,Tier 3
Regular,FDJ03,Dairy,2000,Tier 3
Regular,FDZ08,Fruits and Vegetables,1998,Tier 3
Low Fat,NCK42,Household,2010,Tier 1
Low Fat,DRK12,Soft Drinks,2011,Tier 3
Low Fat,NCR30,Household,2022,Tier 3
Low Fat,NCZ41,Health and Hygiene,2000,Tier 3
Regular,FDN52,Frozen Foods,1998,Tier 3
Low Fat,FDA43,Fruits and Vegetables,2000,Tier 3
Low Fat,NCO18,Household,2015,Tier 2
Low Fat,FDZ33,Snack Foods,2017,Tier 2
Low Fat,NCY05,Health and Hygiene,2010,Tier 1
Low Fat,FDO34,Snack Foods,2011,Tier 3
LF,FDX20,Fruits and Vegetables,2012,Tier 1
LF,NCD19,Household,2012,Tier 1
Low Fat,FDZ12,Baking Goods,2012,Tier 1
Low Fat,FDA23,Baking Goods,2012,Tier 1
Low Fat,FDO12,Baking Goods,2012,Tier 1
Low Fat,FDH24,Baking Goods,2012,Tier 1
Low Fat,FDW47,Breads,2012,Tier 1
Low Fat,FDW25,Canned,2012,Tier 1
Low Fat,FDC38,Canned,2012,Tier 1
Low Fat,FDB15,Dairy,2012,Tier 1
Low Fat,DRC27,Dairy,2012,Tier 1
Low Fat,FDS50,Dairy,2012,Tier 1
Low Fat,DRH51,Dairy,2012,Tier 1
Low Fat,FDB05,Frozen Foods,2012,Tier 1
Low Fat,FDO16,Frozen Foods,2012,Tier 1
Low Fat,FDZ04,Frozen Foods,2012,Tier 1
Low Fat,FDH16,Frozen Foods,2012,Tier 1
Low Fat,FDL16,Frozen Foods,2012,Tier 1
Low Fat,FDD08,Fruits and Vegetables,2012,Tier 1
Low Fat,FDN31,Fruits and Vegetables,2012,Tier 1
Low Fat,FDV43,Fruits and Vegetables,2012,Tier 1
Low Fat,FDI32,Fruits and Vegetables,2012,Tier 1
Low Fat,FDE08,Fruits and Vegetables,2012,Tier 1
Low Fat,DRK11,Hard Drinks,2012,Tier 1
Low Fat,DRP47,Hard Drinks,2012,Tier 1
Low Fat,NCM53,Health and Hygiene,2012,Tier 1
Low Fat,NCV54,Household,2012,Tier 1
Low Fat,NCG42,Household,2012,Tier 1
Low Fat,FDV03,Meat,2012,Tier 1
Low Fat,FDL15,Meat,2012,Tier 1
Low Fat,FDL10,Snack Foods,2012,Tier 1
Low Fat,FDX09,Snack Foods,2012,Tier 1
Low Fat,FDI46,Snack Foods,2012,Tier 1
Low Fat,FDZ33,Snack Foods,2012,Tier 1
Low Fat,FDQ22,Snack Foods,2012,Tier 1
Low Fat,FDV45,Snack Foods,2012,Tier 1
Low Fat,FDU34,Snack Foods,2012,Tier 1
Low Fat,FDY46,Snack Foods,2012,Tier 1
Low Fat,FDP10,Snack Foods,2012,Tier 1
Low Fat,FDR21,Snack Foods,2012,Tier 1
Low Fat,DRK49,Soft Drinks,2012,Tier 1
Low Fat,DRE25,Soft Drinks,2012,Tier 1
Regular,FDB49,Baking Goods,2012,Tier 1
Regular,FDV11,Breads,2012,Tier 1
Regular,FDR59,Breads,2012,Tier 1
Regular,FDV13,Canned,2012,Tier 1
Regular,FDU26,Dairy,2012,Tier 1
Regular,FDA03,Dairy,2012,Tier 1
Regular,FDN28,Frozen Foods,2012,Tier 1
Regular,FDI53,Frozen Foods,2012,Tier 1
Regular,FDR28,Frozen Foods,2012,Tier 1
Regular,FDF29,Frozen Foods,2012,Tier 1
Regular,FDY04,Frozen Foods,2012,Tier 1
Regular,FDV19,Fruits and Vegetables,2012,Tier 1
Regular,FDH20,Fruits and Vegetables,2012,Tier 1
Regular,FDO19,Fruits and Vegetables,2012,Tier 1
Regular,FDU20,Fruits and Vegetables,2012,Tier 1
Regular,FDR20,Fruits and Vegetables,2012,Tier 1
Regular,FDV20,Fruits and Vegetables,2012,Tier 1
Regular,FDO27,Meat,2012,Tier 1
Regular,FDX51,Meat,2012,Tier 1
Regular,FDR27,Meat,2012,Tier 1
Regular,FDU33,Snack Foods,2012,Tier 1
Regular,FDC10,Snack Foods,2012,Tier 1
Regular,FDF11,Starchy Foods,2012,Tier 1
Regular,FDE11,Starchy Foods,2012,Tier 1
low fat,FDO24,Baking Goods,2012,Tier 1
low fat,NCD54,Household,2012,Tier 1
LF,FDH33,Snack Foods,1998,Tier 1
Low Fat,FDK24,Baking Goods,1998,Tier 1
Low Fat,FDN60,Baking Goods,1998,Tier 1
Low Fat,FDW36,Baking Goods,1998,Tier 1
Low Fat,FDR23,Breads,1998,Tier 1
Low Fat,FDA13,Canned,1998,Tier 1
Low Fat,FDH38,Canned,1998,Tier 1
Low Fat,FDS01,Canned,1998,Tier 1
Low Fat,FDY13,Canned,1998,Tier 1
Low Fat,FDL40,Frozen Foods,1998,Tier 1
Low Fat,NCK05,Health and Hygiene,1998,Tier 1
Low Fat,NCM05,Health and Hygiene,1998,Tier 1
Low Fat,NCY29,Health and Hygiene,1998,Tier 1
Low Fat,NCG30,Household,1998,Tier 1
Low Fat,FDG31,Meat,1998,Tier 1
Low Fat,FDV15,Meat,1998,Tier 1
Low Fat,FDE46,Snack Foods,1998,Tier 1
Low Fat,DRF25,Soft Drinks,1998,Tier 1
Low Fat,DRF49,Soft Drinks,1998,Tier 1
Low Fat,DRH37,Soft Drinks,1998,Tier 1
Regular,FDH14,Canned,1998,Tier 1
Regular,FDE51,Dairy,1998,Tier 1
Regular,FDL52,Frozen Foods,1998,Tier 1
Regular,FDY28,Frozen Foods,1998,Tier 1
Regular,FDE56,Fruits and Vegetables,1998,Tier 1
Regular,FDH45,Fruits and Vegetables,1998,Tier 1
Regular,FDH56,Fruits and Vegetables,1998,Tier 1
Regular,FDO56,Fruits and Vegetables,1998,Tier 1
Regular,FDT55,Fruits and Vegetables,1998,Tier 1
Regular,FDY03,Meat,1998,Tier 1
Regular,FDS21,Snack Foods,1998,Tier 1
LF,FDB50,Canned,2010,Tier 1
LF,NCN30,Household,2010,Tier 1
LF,FDV15,Meat,2010,Tier 1
Low Fat,FDZ12,Baking Goods,2010,Tier 1
Low Fat,FDS23,Breads,2010,Tier 1
Low Fat,FDR35,Breads,2010,Tier 1
Low Fat,FDX13,Canned,2010,Tier 1
Low Fat,FDG02,Canned,2010,Tier 1
Low Fat,FDO50,Canned,2010,Tier 1
Low Fat,FDC28,Frozen Foods,2010,Tier 1
Low Fat,FDH41,Frozen Foods,2010,Tier 1
Low Fat,FDC17,Frozen Foods,2010,Tier 1
Low Fat,FDG40,Frozen Foods,2010,Tier 1
Low Fat,FDG29,Frozen Foods,2010,Tier 1
Low Fat,FDD05,Frozen Foods,2010,Tier 1
Low Fat,FDO32,Fruits and Vegetables,2010,Tier 1
Low Fat,DRH59,Hard Drinks,2010,Tier 1
Low Fat,NCM17,Health and Hygiene,2010,Tier 1
Low Fat,NCP29,Health and Hygiene,2010,Tier 1
Low Fat,NCN41,Health and Hygiene,2010,Tier 1
Low Fat,NCP17,Health and Hygiene,2010,Tier 1
Low Fat,NCA05,Health and Hygiene,2010,Tier 1
Low Fat,NCB31,Household,2010,Tier 1
Low Fat,NCE07,Household,2010,Tier 1
Low Fat,NCD19,Household,2010,Tier 1
Low Fat,NCP18,Household,2010,Tier 1
Low Fat,NCG06,Household,2010,Tier 1
Low Fat,NCC30,Household,2010,Tier 1
Low Fat,NCI30,Household,2010,Tier 1
Low Fat,FDS03,Meat,2010,Tier 1
Low Fat,FDL43,Meat,2010,Tier 1
Low Fat,FDV03,Meat,2010,Tier 1
Low Fat,NCL31,Others,2010,Tier 1
Low Fat,FDR58,Snack Foods,2010,Tier 1
Low Fat,FDF22,Snack Foods,2010,Tier 1
Low Fat,FDZ10,Snack Foods,2010,Tier 1
Low Fat,FDW45,Snack Foods,2010,Tier 1
Low Fat,FDN45,Snack Foods,2010,Tier 1
Low Fat,DRZ24,Soft Drinks,2010,Tier 1
Regular,FDS36,Baking Goods,2010,Tier 1
Regular,FDJ60,Baking Goods,2010,Tier 1
Regular,FDB37,Baking Goods,2010,Tier 1
Regular,FDG38,Canned,2010,Tier 1
Regular,FDI38,Canned,2010,Tier 1
Regular,FDI02,Canned,2010,Tier 1
Regular,FDD38,Canned,2010,Tier 1
Regular,FDY49,Canned,2010,Tier 1
Regular,FDE05,Frozen Foods,2010,Tier 1
Regular,FDQ40,Frozen Foods,2010,Tier 1
Regular,FDI16,Frozen Foods,2010,Tier 1
Regular,FDV28,Frozen Foods,2010,Tier 1
Regular,FDZ43,Fruits and Vegetables,2010,Tier 1
Regular,FDV19,Fruits and Vegetables,2010,Tier 1
Regular,FDZ31,Fruits and Vegetables,2010,Tier 1
Regular,FDS32,Fruits and Vegetables,2010,Tier 1
Regular,FDQ32,Fruits and Vegetables,2010,Tier 1
Regular,FDS27,Meat,2010,Tier 1
Regular,FDH31,Meat,2010,Tier 1
Regular,FDL58,Snack Foods,2010,Tier 1
Regular,FDH46,Snack Foods,2010,Tier 1
Regular,FDS58,Snack Foods,2010,Tier 1
Regular,FDU46,Snack Foods,2010,Tier 1
Regular,FDY57,Snack Foods,2010,Tier 1
Regular,FDH47,Starchy Foods,2010,Tier 1
Regular,FDE11,Starchy Foods,2010,Tier 1
LF,FDV38,Dairy,2015,Tier 2
LF,NCM06,Household,2015,Tier 2
LF,NCO43,Others,2015,Tier 2
LF,FDB51,Dairy,2020,Tier 2
LF,FDP33,Snack Foods,2020,Tier 2
Low Fat,FDK48,Baking Goods,2015,Tier 2
Low Fat,FDZ48,Baking Goods,2015,Tier 2
Low Fat,FDP24,Baking Goods,2015,Tier 2
Low Fat,FDS37,Canned,2015,Tier 2
Low Fat,FDU13,Canned,2015,Tier 2
Low Fat,FDX01,Canned,2015,Tier 2
Low Fat,FDA13,Canned,2015,Tier 2
Low Fat,FDZ15,Dairy,2015,Tier 2
Low Fat,DRF51,Dairy,2015,Tier 2
Low Fat,FDD39,Dairy,2015,Tier 2
Low Fat,FDS50,Dairy,2015,Tier 2
Low Fat,FDO16,Frozen Foods,2015,Tier 2
Low Fat,FDK40,Frozen Foods,2015,Tier 2
Low Fat,FDC28,Frozen Foods,2015,Tier 2
Low Fat,FDE29,Frozen Foods,2015,Tier 2
Low Fat,FDH41,Frozen Foods,2015,Tier 2
Low Fat,FDX40,Frozen Foods,2015,Tier 2
Low Fat,FDS40,Frozen Foods,2015,Tier 2
Low Fat,FDJ04,Frozen Foods,2015,Tier 2
Low Fat,FDP19,Fruits and Vegetables,2015,Tier 2
Low Fat,FDD33,Fruits and Vegetables,2015,Tier 2
Low Fat,FDZ56,Fruits and Vegetables,2015,Tier 2
Low Fat,FDY55,Fruits and Vegetables,2015,Tier 2
Low Fat,FDI32,Fruits and Vegetables,2015,Tier 2
Low Fat,FDL44,Fruits and Vegetables,2015,Tier 2
Low Fat,DRK47,Hard Drinks,2015,Tier 2
Low Fat,DRP35,Hard Drinks,2015,Tier 2
Low Fat,NCH29,Health and Hygiene,2015,Tier 2
Low Fat,NCY05,Health and Hygiene,2015,Tier 2
Low Fat,NCV41,Health and Hygiene,2015,Tier 2
Low Fat,NCM41,Health and Hygiene,2015,Tier 2
Low Fat,NCW41,Health and Hygiene,2015,Tier 2
Low Fat,NCA17,Health and Hygiene,2015,Tier 2
Low Fat,NCO26,Household,2015,Tier 2
Low Fat,NCR42,Household,2015,Tier 2
Low Fat,NCF42,Household,2015,Tier 2
Low Fat,NCM19,Others,2015,Tier 2
Low Fat,NCQ38,Others,2015,Tier 2
Low Fat,FDQ46,Snack Foods,2015,Tier 2
Low Fat,FDI22,Snack Foods,2015,Tier 2
Low Fat,FDH33,Snack Foods,2015,Tier 2
Low Fat,FDB34,Snack Foods,2015,Tier 2
Low Fat,FDV45,Snack Foods,2015,Tier 2
Low Fat,FDM21,Snack Foods,2015,Tier 2
Low Fat,DRZ24,Soft Drinks,2015,Tier 2
Low Fat,DRL37,Soft Drinks,2015,Tier 2
Low Fat,DRH25,Soft Drinks,2015,Tier 2
Low Fat,FDJ48,Baking Goods,2020,Tier 2
Low Fat,FDH24,Baking Goods,2020,Tier 2
Low Fat,FDK38,Canned,2020,Tier 2
Low Fat,FDE02,Canned,2020,Tier 2
Low Fat,FDY25,Canned,2020,Tier 2
Low Fat,FDB50,Canned,2020,Tier 2
Low Fat,FDT37,Canned,2020,Tier 2
Low Fat,FDH27,Dairy,2020,Tier 2
Low Fat,FDP26,Dairy,2020,Tier 2
Low Fat,FDZ15,Dairy,2020,Tier 2
Low Fat,FDD03,Dairy,2020,Tier 2
Low Fat,FDE53,Frozen Foods,2020,Tier 2
Low Fat,FDS40,Frozen Foods,2020,Tier 2
Low Fat,FDY31,Fruits and Vegetables,2020,Tier 2
Low Fat,FDZ19,Fruits and Vegetables,2020,Tier 2
Low Fat,FDQ20,Fruits and Vegetables,2020,Tier 2
Low Fat,FDJ56,Fruits and Vegetables,2020,Tier 2
Low Fat,FDG57,Fruits and Vegetables,2020,Tier 2
Low Fat,FDI44,Fruits and Vegetables,2020,Tier 2
Low Fat,DRF23,Hard Drinks,2020,Tier 2
Low Fat,DRK59,Hard Drinks,2020,Tier 2
Low Fat,DRL35,Hard Drinks,2020,Tier 2
Low Fat,NCR17,Health and Hygiene,2020,Tier 2
Low Fat,NCO26,Household,2020,Tier 2
Low Fat,NCE31,Household,2020,Tier 2
Low Fat,NCQ30,Household,2020,Tier 2
Low Fat,NCR42,Household,2020,Tier 2
Low Fat,NCI18,Household,2020,Tier 2
Low Fat,NCJ42,Household,2020,Tier 2
Low Fat,FDS39,Meat,2020,Tier 2
Low Fat,FDR33,Snack Foods,2020,Tier 2
Low Fat,FDJ09,Snack Foods,2020,Tier 2
Low Fat,FDT57,Snack Foods,2020,Tier 2
Low Fat,FDS10,Snack Foods,2020,Tier 2
Low Fat,DRM37,Soft Drinks,2020,Tier 2
Regular,FDL24,Baking Goods,2015,Tier 2
Regular,FDT24,Baking Goods,2015,Tier 2
Regular,FDX52,Frozen Foods,2015,Tier 2
Regular,FDN08,Fruits and Vegetables,2015,Tier 2
Regular,FDW44,Fruits and Vegetables,2015,Tier 2
Regular,FDW31,Fruits and Vegetables,2015,Tier 2
Regular,FDJ44,Fruits and Vegetables,2015,Tier 2
Regular,FDF08,Fruits and Vegetables,2015,Tier 2
Regular,FDH44,Fruits and Vegetables,2015,Tier 2
Regular,FDE33,Fruits and Vegetables,2015,Tier 2
Regular,FDO03,Meat,2015,Tier 2
Regular,FDS45,Snack Foods,2015,Tier 2
Regular,FDP45,Snack Foods,2015,Tier 2
Regular,FDS22,Snack Foods,2015,Tier 2
Regular,DRM49,Soft Drinks,2015,Tier 2
Regular,FDQ49,Breakfast,2020,Tier 2
Regular,FDH02,Canned,2020,Tier 2
Regular,FDI02,Canned,2020,Tier 2
Regular,FDV01,Canned,2020,Tier 2
Regular,FDQ26,Dairy,2020,Tier 2
Regular,FDU26,Dairy,2020,Tier 2
Regular,FDC29,Frozen Foods,2020,Tier 2
Regular,FDN04,Frozen Foods,2020,Tier 2
Regular,FDR52,Frozen Foods,2020,Tier 2
Regular,FDP28,Frozen Foods,2020,Tier 2
Regular,FDA40,Frozen Foods,2020,Tier 2
Regular,FDD21,Fruits and Vegetables,2020,Tier 2
Regular,FDA08,Fruits and Vegetables,2020,Tier 2
Regular,FDS44,Fruits and Vegetables,2020,Tier 2
Regular,FDG08,Fruits and Vegetables,2020,Tier 2
Regular,FDT55,Fruits and Vegetables,2020,Tier 2
Regular,FDC21,Fruits and Vegetables,2020,Tier 2
Regular,FDV19,Fruits and Vegetables,2020,Tier 2
Regular,FDO19,Fruits and Vegetables,2020,Tier 2
Regular,FDT32,Fruits and Vegetables,2020,Tier 2
Regular,FDJ57,Seafood,2020,Tier 2
Regular,FDF34,Snack Foods,2020,Tier 2
Regular,FDO21,Snack Foods,2020,Tier 2
Regular,FDA09,Snack Foods,2020,Tier 2
Regular,FDN34,Snack Foods,2020,Tier 2
Regular,FDR34,Snack Foods,2020,Tier 2
Regular,DRM49,Soft Drinks,2020,Tier 2
low fat,DRG36,Soft Drinks,2015,Tier 2
low fat,DRF27,Dairy,2020,Tier 2
reg,FDI07,Meat,2015,Tier 2
reg,FDD47,Starchy Foods,2015,Tier 2
reg,FDN51,Meat,2020,Tier 2
reg,FDT10,Snack Foods,2020,Tier 2
LF,FDT20,Fruits and Vegetables,2017,Tier 2
LF,NCF30,Household,2017,Tier 2
LF,NCO06,Household,2017,Tier 2
LF,NCO42,Household,2017,Tier 2
LF,FDF33,Seafood,2017,Tier 2
Low Fat,FDW23,Baking Goods,2017,Tier 2
Low Fat,FDP23,Breads,2017,Tier 2
Low Fat,FDP25,Canned,2017,Tier 2
Low Fat,FDD50,Canned,2017,Tier 2
Low Fat,FDZ15,Dairy,2017,Tier 2
Low Fat,FDC53,Frozen Foods,2017,Tier 2
Low Fat,FDD29,Frozen Foods,2017,Tier 2
Low Fat,FDI52,Frozen Foods,2017,Tier 2
Low Fat,FDA31,Fruits and Vegetables,2017,Tier 2
Low Fat,FDH08,Fruits and Vegetables,2017,Tier 2
Low Fat,FDI45,Fruits and Vegetables,2017,Tier 2
Low Fat,FDL56,Fruits and Vegetables,2017,Tier 2
Low Fat,FDD57,Fruits and Vegetables,2017,Tier 2
Low Fat,FDC32,Fruits and Vegetables,2017,Tier 2
Low Fat,FDW20,Fruits and Vegetables,2017,Tier 2
Low Fat,DRI11,Hard Drinks,2017,Tier 2
Low Fat,DRG23,Hard Drinks,2017,Tier 2
Low Fat,NCL29,Health and Hygiene,2017,Tier 2
Low Fat,NCQ41,Health and Hygiene,2017,Tier 2
Low Fat,NCF43,Household,2017,Tier 2
Low Fat,NCC55,Household,2017,Tier 2
Low Fat,NCG07,Household,2017,Tier 2
Low Fat,NCK30,Household,2017,Tier 2
Low Fat,NCC07,Household,2017,Tier 2
Low Fat,NCJ06,Household,2017,Tier 2
Low Fat,FDG31,Meat,2017,Tier 2
Low Fat,FDY51,Meat,2017,Tier 2
Low Fat,NCN19,Others,2017,Tier 2
Low Fat,NCN07,Others,2017,Tier 2
Low Fat,FDK45,Seafood,2017,Tier 2
Low Fat,FDQ46,Snack Foods,2017,Tier 2
Low Fat,FDB22,Snack Foods,2017,Tier 2
Low Fat,FDW34,Snack Foods,2017,Tier 2
Low Fat,FDK34,Snack Foods,2017,Tier 2
Low Fat,FDM10,Snack Foods,2017,Tier 2
Low Fat,FDU34,Snack Foods,2017,Tier 2
Low Fat,FDN21,Snack Foods,2017,Tier 2
Low Fat,FDJ22,Snack Foods,2017,Tier 2
Low Fat,FDA10,Snack Foods,2017,Tier 2
Low Fat,DRG25,Soft Drinks,2017,Tier 2
Low Fat,FDF35,Starchy Foods,2017,Tier 2
Regular,FDP12,Baking Goods,2017,Tier 2
Regular,FDF24,Baking Goods,2017,Tier 2
Regular,FDB37,Baking Goods,2017,Tier 2
Regular,FDQ59,Breads,2017,Tier 2
Regular,FDS59,Breads,2017,Tier 2
Regular,FDT50,Dairy,2017,Tier 2
Regular,FDT14,Dairy,2017,Tier 2
Regular,FDY15,Dairy,2017,Tier 2
Regular,FDE41,Frozen Foods,2017,Tier 2
Regular,FDE28,Frozen Foods,2017,Tier 2
Regular,FDR52,Frozen Foods,2017,Tier 2
Regular,FDX04,Frozen Foods,2017,Tier 2
Regular,FDF44,Fruits and Vegetables,2017,Tier 2
Regular,FDF21,Fruits and Vegetables,2017,Tier 2
Regular,FDJ44,Fruits and Vegetables,2017,Tier 2
Regular,FDW55,Fruits and Vegetables,2017,Tier 2
Regular,FDG56,Fruits and Vegetables,2017,Tier 2
Regular,FDF08,Fruits and Vegetables,2017,Tier 2
Regular,FDI08,Fruits and Vegetables,2017,Tier 2
Regular,FDS45,Snack Foods,2017,Tier 2
Regular,FDL58,Snack Foods,2017,Tier 2
Regular,FDK10,Snack Foods,2017,Tier 2
Regular,FDK58,Snack Foods,2017,Tier 2
Regular,FDA09,Snack Foods,2017,Tier 2
Regular,FDN34,Snack Foods,2017,Tier 2
Regular,FDL21,Snack Foods,2017,Tier 2
low fat,NCU53,Health and Hygiene,2017,Tier 2
reg,FDU19,Fruits and Vegetables,2017,Tier 2
reg,FDM08,Fruits and Vegetables,2017,Tier 2
reg,FDS34,Snack Foods,2017,Tier 2
Low Fat,FDP24,Baking Goods,2011,Tier 3
Low Fat,FDV59,Breads,2011,Tier 3
Low Fat,FDT13,Canned,2011,Tier 3
Low Fat,FDX37,Canned,2011,Tier 3
Low Fat,FDR26,Dairy,2011,Tier 3
Low Fat,FDF16,Frozen Foods,2011,Tier 3
Low Fat,FDC53,Frozen Foods,2011,Tier 3
Low Fat,FDF52,Frozen Foods,2011,Tier 3
Low Fat,FDP16,Frozen Foods,2011,Tier 3
Low Fat,FDM32,Fruits and Vegetables,2011,Tier 3
Low Fat,DRI47,Hard Drinks,2011,Tier 3
Low Fat,DRM23,Hard Drinks,2011,Tier 3
Low Fat,NCV29,Health and Hygiene,2011,Tier 3
Low Fat,NCB06,Health and Hygiene,2011,Tier 3
Low Fat,NCK05,Health and Hygiene,2011,Tier 3
Low Fat,NCM06,Household,2011,Tier 3
Low Fat,NCE07,Household,2011,Tier 3
Low Fat,NCB30,Household,2011,Tier 3
Low Fat,NCK30,Household,2011,Tier 3
Low Fat,NCG18,Household,2011,Tier 3
Low Fat,NCC18,Household,2011,Tier 3
Low Fat,NCO55,Others,2011,Tier 3
Low Fat,FDD46,Snack Foods,2011,Tier 3
Low Fat,FDV21,Snack Foods,2011,Tier 3
Low Fat,FDC47,Snack Foods,2011,Tier 3
Low Fat,FDK09,Snack Foods,2011,Tier 3
Low Fat,FDY09,Snack Foods,2011,Tier 3
Low Fat,DRN37,Soft Drinks,2011,Tier 3
Regular,FDI60,Baking Goods,2011,Tier 3
Regular,FDX48,Baking Goods,2011,Tier 3
Regular,FDY35,Breads,2011,Tier 3
Regular,FDQ25,Canned,2011,Tier 3
Regular,FDL38,Canned,2011,Tier 3
Regular,FDZ02,Dairy,2011,Tier 3
Regular,FDZ28,Frozen Foods,2011,Tier 3
Regular,FDY08,Fruits and Vegetables,2011,Tier 3
Regular,FDH56,Fruits and Vegetables,2011,Tier 3
Regular,FDX32,Fruits and Vegetables,2011,Tier 3
Regular,FDG09,Fruits and Vegetables,2011,Tier 3
Regular,FDG10,Snack Foods,2011,Tier 3
Regular,FDM58,Snack Foods,2011,Tier 3
Regular,FDE11,Starchy Foods,2011,Tier 3
LF,FDT08,Fruits and Vegetables,2000,Tier 3
LF,NCQ50,Household,2000,Tier 3
LF,FDP27,Meat,2000,Tier 3
Low Fat,FDN12,Baking Goods,2000,Tier 3
Low Fat,FDS35,Breads,2000,Tier 3
Low Fat,FDB51,Dairy,2000,Tier 3
Low Fat,DRD15,Dairy,2000,Tier 3
Low Fat,FDU38,Dairy,2000,Tier 3
Low Fat,FDX50,Dairy,2000,Tier 3
Low Fat,FDZ52,Frozen Foods,2000,Tier 3
Low Fat,FDA20,Fruits and Vegetables,2000,Tier 3
Low Fat,FDV08,Fruits and Vegetables,2000,Tier 3
Low Fat,FDT20,Fruits and Vegetables,2000,Tier 3
Low Fat,FDX19,Fruits and Vegetables,2000,Tier 3
Low Fat,DRJ11,Hard Drinks,2000,Tier 3
Low Fat,NCR53,Health and Hygiene,2000,Tier 3
Low Fat,NCS53,Health and Hygiene,2000,Tier 3
Low Fat,NCC54,Health and Hygiene,2000,Tier 3
Low Fat,NCK05,Health and Hygiene,2000,Tier 3
Low Fat,NCF42,Household,2000,Tier 3
Low Fat,NCM54,Household,2000,Tier 3
Low Fat,NCO06,Household,2000,Tier 3
Low Fat,NCR30,Household,2000,Tier 3
Low Fat,FDS39,Meat,2000,Tier 3
Low Fat,FDV03,Meat,2000,Tier 3
Low Fat,FDQ34,Snack Foods,2000,Tier 3
Low Fat,FDI33,Snack Foods,2000,Tier 3
Low Fat,DRB01,Soft Drinks,2000,Tier 3
Low Fat,DRI01,Soft Drinks,2000,Tier 3
Low Fat,DRH49,Soft Drinks,2000,Tier 3
Regular,FDV48,Baking Goods,2000,Tier 3
Regular,FDT24,Baking Goods,2000,Tier 3
Regular,FDR12,Baking Goods,2000,Tier 3
Regular,FDS24,Baking Goods,2000,Tier 3
Regular,FDN25,Breakfast,2000,Tier 3
Regular,FDL13,Breakfast,2000,Tier 3
Regular,FDQ49,Breakfast,2000,Tier 3
Regular,FDI50,Canned,2000,Tier 3
Regular,FDH50,Canned,2000,Tier 3
